GROUP_ID,WELL_CD,ROC_VOLTAGE,FLOW,PRESSURE_TH,TSTART
28,ACRUS1,1445-EB-0005.RM_PV,1445-F-0005.RM_PV,1445-P_TH-0005.RM_PV,29/06/2016 5:31
37,ALIS2,1117-EB-0002.RM_PV,1117-F-0002.RM_PV,1117-P_TH-0002.RM_PV,29/06/2016 5:31
23,ALLAM1,1251-EB-0002.RM_PV,1251-F-0002.RM_PV,1251-P_TH-0002.RM_PV,29/06/2016 5:32
47,ALLUN1,1033-EB-0005.RM_PV,1033-F-0005.RM_PV,1033-P_TH-0005.RM_PV,29/06/2016 5:34
47,ALLUN2,1033-EB-00010.RM_PV,1033-F-00010.RM_PV,1033-P_TH-00010.RM_PV,2/04/2017 0:24
47,ALLUN3,1033-EB-00015.RM_PV,1033-F-00015.RM_PV,1033-P_TH-00015.RM_PV,1/04/2017 20:37
34,AMYE2,1153-EB-00003.RM_PV,1153-F-00003.RM_PV,1153-P_TH-00003.RM_PV,23/09/2021 1:36
8,ANDR3,1204-EB-0011.RM_PV,1204-F-0011.RM_PV,1204-P_TH-0011.RM_PV,29/06/2016 5:32
8,ANDR4,1204-EB-0025.RM_PV,1204-F-0025.RM_PV,1204-P_TH-0025.RM_PV,29/06/2016 5:33
20,ANTH1,1471-EB-00001.RM_PV,1471-F-00001.RM_PV,1471-P_TH-00001.RM_PV,10/10/2019 3:35
20,ANTH2,1471-EB-00016.RM_PV,1471-F-00016.RM_PV,1471-P_TH-00016.RM_PV,2/05/2021 4:39
33,ARO2,1380-EB-00005.RM_PV,1380-F-00005.RM_PV,1380-P_TH-00005.RM_PV,28/09/2018 7:36
17,ARRA1,4205-EB-0001.RM_PV,4205-F-0001.RM_PV,4205-P_TH-0001.RM_PV,29/06/2016 5:34
17,ARRA_N1,4202-EB-0002.RM_PV,4202-F-0002.RM_PV,4202-P_TH-0002.RM_PV,5/07/2016 5:34
23,ASHBY1,3804-EB-0003.RM_PV,3804-F-0003.RM_PV,3804-P_TH-0003.RM_PV,29/06/2016 5:32
23,ASHBY3,3804-EB-0004.RM_PV,3804-F-0004.RM_PV,3804-P_TH-0004.RM_PV,29/06/2016 5:34
1,ASHBY4,3804-EB-0011.RM_PV,3804-F-0011.RM_PV,3804-P_TH-0011.RM_PV,29/06/2016 5:37
23,ASHN1,3804-EB-0010.RM_PV,3804-F-0010.RM_PV,3804-P_TH-0010.RM_PV,29/06/2016 5:40
41,AZTC1,1481-EB-00001.RM_PV,1481-F-00001.RM_PV,1481-P_TH-00001.RM_PV,1/12/2019 0:07
33,BAGU4,1390-EB-0009.RM_PV,1390-F-0009.RM_PV,1390-P_TH-0009.RM_PV,29/06/2016 5:33
33,BAGU5,1390-EB-0014.RM_PV,1390-F-0014.RM_PV,1390-P_TH-0014.RM_PV,29/06/2016 5:34
33,BAGU6,1390-EB-0015.RM_PV,1390-F-0015.RM_PV,1390-P_TH-0015.RM_PV,29/06/2016 6:31
33,BAGU7,1390-EB-00074.RM_PV,1390-F-00074.RM_PV,1390-P_TH-00074.RM_PV,1/09/2018 0:39
47,BALC1,1353-EB-0001.RM_PV,1353-F-0001.RM_PV,1353-P_TH-0001.RM_PV,29/06/2016 6:31
47,BALC2,1353-EB-0022.RM_PV,1353-F-0022.RM_PV,1353-P_TH-0022.RM_PV,29/06/2016 5:32
3,BALL1,1403-EB-0007.RM_PV,1403-F-0007.RM_PV,1403-P_TH-0007.RM_PV,29/06/2016 5:31
7,BANT1,1427-EB-00001.RM_PV,1427-F-00001.RM_PV,1427-P_TH-00001.RM_PV,17/09/2018 6:35
17,BARI1,1162-EB-0001.RM_PV,1162-F-0001.RM_PV,1162-P_TH-0001.RM_PV,29/06/2016 5:34
17,BARI3,1162-EB-0002.RM_PV,1162-F-0002.RM_PV,1162-P_TH-0002.RM_PV,29/06/2016 5:36
17,BARI4,1162-EB-0003.RM_PV,1162-F-0003.RM_PV,1162-P_TH-0003.RM_PV,29/06/2016 6:37
