KEY,VALUE,TYPE
ACRUS1,Jackson,str
BIGL20,Moomba,str
BIGL22,Moomba,str
MOOM115,Moomba,str
MOOM157,Moomba,str
POND1,Tirrawarra,str
POND11,Tirrawarra,str
POND14,Tirrawarra,str
POND16,Tirrawarra,str
PSYC3,Jackson,str
PSYC7,Jackson,str
TIRRA80,Tirrawarra,str
TIRRA88,Tirrawarra,str
TIRRA91,Tirrawarra,str
TIRRA93,Tirrawarra,str
TIRRW1,Tirrawarra,str
TOOL16,Epsilon,str
TOOL29,Epsilon,str
WELTN1,Jackson,str
WELTN4,Jackson,str
WIPPOS1,Woomanooka,str
WKT3,Woomanooka,str
YAN1L,Woomanooka,str
YAN2L,Woomanooka,str
YAN2U,Woomanooka,str
YAN4U,Woomanooka,str
YAN8L,Woomanooka,str
